DIRECTORIO,NOMBRE_LOCALIDAD,NOMBRE_ESTRATO,NVCBP4,NVCBP14A,NVCBP14D,NVCBP14E,NVCBP14G,NVCBP15A,NVCBP15C,NVCBP15F,NVCBP15G,NVCBP16A3,NVCBP16A4,NPCKP17,NPCKP18,NPCKP23,NPCKP44A,NPCKPN62A,NPCKPN62B,NPCKP64A,NPCKP64E,NHCCP3,NHCCP6,NHCCP7,NHCCP8_1,NHCCP8_2,NHCCP8_3,NHCCP8_6,NHCCP8_7,NHCCP8_8,NHCCP8_9,NHCCP9,NHCCP11,NHCCP11A,NHCCP12,NHCCP41,NHCCP41A,NHCCP47A,NHCCP47B,NHCLP2A,NHCLP2B,NHCLP2C,NHCLP2E,NHCLP4,NHCLP5,NHCLP8AB,NHCLP8AE,NHCLP10,NHCLP11,NHCLP29_1A,NHCLP29_1C,NHCLP29_1E,NHCLP29_1F,NPCHP4
3004368.0,Usaquén,USAQUÉN: Paseo de Los Libertadores + La Uribe,1,2,2,2,2,2,2,2,2,1,1,1.0,1.0,99.0,1.0,2.0,99.0,2,2,1.0,2012.0,99.0,,,,,,,,99.0,2,,1.0,2,,1,2,2,2,2,2,1,1,,,2,2,,,,,9.0
3004369.0,Usaquén,Usaquén,1,2,2,2,2,2,2,2,2,1,1,1.0,1.0,10000000.0,1.0,2.0,10000000.0,2,2,1.0,2004.0,10000000.0,,,,,,,,10000000.0,2,,1.0,1,1.0,2,1,2,2,2,2,2,2,,,3,2,,,,,11.0
3004375.0,Chapinero,CHAPINERO: Pardo Rubio + Chapinero,2,2,2,2,2,2,1,2,1,2,2,1.0,1.0,4000000.0,7.0,2.0,4000000.0,2,1,1.0,2012.0,4000000.0,,,,,,,,4000000.0,2,,2.0,1,1.0,1,2,2,2,2,2,2,2,,,2,2,,,1.0,,11.0
3004380.0,Usaquén,Los Cedros,1,2,2,2,2,2,2,2,2,1,1,1.0,2.0,5000000.0,1.0,2.0,5000000.0,2,1,1.0,2000.0,5000000.0,,,,,,,,5000000.0,2,,1.0,1,1.0,2,2,1,2,2,2,1,1,,,3,2,,,,,9.0
3004383.0,Fontibón,Ciudad Salitre Occidental,1,2,2,2,2,1,2,2,2,1,1,1.0,2.0,3500000.0,7.0,2.0,3500000.0,2,1,1.0,99.0,3500000.0,,,,,,,,3500000.0,1,1.0,,1,2.0,2,2,2,2,2,2,1,2,,,2,2,,,,,11.0
3004387.0,Usaquén,Usaquén,1,2,2,2,2,2,2,2,2,9,9,1.0,1.0,6000000.0,1.0,2.0,6000000.0,2,2,1.0,2017.0,6000000.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,6000000.0,2,,1.0,1,1.0,2,2,2,2,2,2,2,2,,,3,2,,,,,11.0
3004393.0,Chapinero,CHAPINERO: Pardo Rubio + Chapinero,1,2,2,2,2,2,2,2,2,2,2,1.0,1.0,5200000.0,7.0,2.0,5200000.0,2,2,1.0,2016.0,5200000.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,5200000.0,2,,1.0,1,1.0,2,1,2,2,2,2,1,1,,,2,2,,,,,9.0
3004397.0,Chapinero,CHAPINERO: Chicó Lago + El Refugio,1,2,2,2,2,2,2,2,2,1,1,1.0,1.0,99.0,1.0,2.0,99.0,1,1,1.0,2003.0,99.0,,,,,,,,99.0,2,,1.0,1,2.0,2,2,2,2,2,2,2,2,,,3,2,,,,,9.0
3004400.0,Fontibón,Ciudad Salitre Occidental,1,2,2,2,2,2,2,2,2,2,2,1.0,1.0,3500000.0,1.0,2.0,3500000.0,2,2,1.0,2020.0,3500000.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3500000.0,2,,1.0,1,1.0,2,2,2,2,2,2,2,2,,,3,2,,,,,11.0
3004404.0,Usaquén,USAQUÉN: Paseo de Los Libertadores + La Uribe,1,2,2,2,2,2,2,2,2,1,1,1.0,1.0,1400000.0,6.0,2.0,1400000.0,2,1,1.0,2000.0,1400000.0,,,,,,,,1400000.0,2,,2.0,1,1.0,2,1,2,2,2,2,2,2,,,2,2,1.0,,,,5.0
3004416.0,Usaquén,USAQUÉN: Paseo de Los Libertadores + La Uribe,1,2,2,2,2,2,2,2,2,1,1,1.0,1.0,99.0,7.0,1.0,99.0,2,2,2.0,2015.0,99.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,99.0,1,1.0,,1,3.0,2,2,2,2,2,2,1,1,,,3,2,,,,,10.0
3004420.0,Fontibón,Ciudad Salitre Occidental,1,2,2,2,2,2,1,2,2,2,2,1.0,1.0,4500000.0,1.0,2.0,4500000.0,2,2,1.0,99.0,4500000.0,,,,,,,,4500000.0,2,,1.0,2,,2,2,2,2,2,2,2,2,,,2,2,,,,,9.0
3004422.0,Fontibón,Ciudad Salitre Occidental,1,2,2,2,2,2,2,2,2,2,2,1.0,1.0,2500000.0,1.0,2.0,2500000.0,2,2,1.0,2017.0,2500000.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2500000.0,2,,1.0,1,1.0,2,2,2,2,2,2,2,2,,,3,2,,,,,11.0
3004426.0,Usaquén,USAQUÉN: Paseo de Los Libertadores + La Uribe,1,2,2,2,2,2,2,2,2,1,1,1.0,1.0,99.0,7.0,1.0,99.0,2,2,1.0,2010.0,99.0,,,,,,,,99.0,2,,1.0,1,1.0,1,2,2,2,2,2,1,1,,,2,2,,,,,11.0
3004428.0,Chapinero,CHAPINERO: Pardo Rubio + Chapinero,1,2,2,2,2,1,1,2,2,2,2,1.0,1.0,4600000.0,7.0,2.0,4600000.0,2,1,1.0,2014.0,4600000.0,,,,,,,,4600000.0,2,,1.0,1,1.0,2,2,2,2,2,2,2,2,,,2,2,,,,,9.0
3004430.0,Usaquén,USAQUÉN: Paseo de Los Libertadores + La Uribe,1,2,2,2,2,2,2,2,2,1,1,1.0,1.0,6000000.0,1.0,2.0,6000000.0,2,1,1.0,2015.0,6000000.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,6000000.0,2,,1.0,1,1.0,2,1,2,2,2,2,1,1,,,2,2,,,,,9.0
3004431.0,Fontibón,Ciudad Salitre Occidental,1,2,2,2,2,1,2,2,2,2,2,1.0,1.0,3500000.0,1.0,2.0,3500000.0,2,2,1.0,2018.0,3500000.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3500000.0,2,,1.0,2,,2,2,2,2,2,2,2,1,,,3,2,,,,,11.0
3004439.0,Fontibón,Ciudad Salitre Occidental,1,2,1,2,2,1,1,2,2,1,1,1.0,1.0,2000000.0,7.0,2.0,2000000.0,2,1,1.0,2019.0,2000000.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2000000.0,1,1.0,,1,1.0,1,1,1,2,2,2,1,1,,,2,2,,,1.0,,9.0
3004443.0,Usaquén,Los Cedros,1,2,2,2,2,2,2,2,2,1,1,1.0,2.0,3000000.0,1.0,2.0,3000000.0,2,2,1.0,2005.0,3000000.0,,,,,,,,3000000.0,2,,1.0,1,1.0,1,2,2,2,2,2,1,1,,,3,2,,,,,9.0
3004446.0,Chapinero,CHAPINERO: Pardo Rubio + Chapinero,2,2,2,1,2,1,1,2,2,2,2,1.0,1.0,6500000.0,7.0,2.0,6500000.0,2,2,2.0,99.0,6500000.0,,,,,,,,6500000.0,1,1.0,,2,,1,2,2,2,2,2,2,3,,,2,2,,,,,13.0
3004447.0,Chapinero,CHAPINERO: Pardo Rubio + Chapinero,1,2,2,2,2,2,1,2,2,2,2,1.0,1.0,3800000.0,7.0,2.0,3800000.0,2,2,1.0,2000.0,3800000.0,,,,,,,,3800000.0,2,,2.0,1,1.0,2,1,2,2,2,2,1,1,,,2,2,,,,,9.0
3004449.0,Chapinero,CHAPINERO: Pardo Rubio + Chapinero,1,2,2,1,2,1,1,2,2,2,2,1.0,1.0,3000000.0,7.0,2.0,3000000.0,2,2,2.0,99.0,3000000.0,,,,,,,,3000000.0,1,2.0,,1,1.0,2,1,2,2,2,2,2,2,,,2,2,,,,,9.0
3004450.0,Fontibón,Ciudad Salitre Occidental,1,2,1,2,2,2,1,2,2,2,2,1.0,1.0,2200000.0,1.0,2.0,2200000.0,2,2,1.0,99.0,2200000.0,,,,,,,,2200000.0,2,,1.0,2,,2,2,2,2,2,2,2,2,,,1,1,,,,,9.0
3004451.0,Usaquén,USAQUÉN: Country Club + Santa Bárbara,1,2,2,2,2,1,1,2,2,2,2,1.0,2.0,3200000.0,1.0,2.0,3200000.0,1,1,2.0,2008.0,3200000.0,,,,,,,,3200000.0,1,1.0,,1,1.0,2,2,1,2,2,2,2,2,,,2,2,,,,,11.0
3004454.0,Fontibón,Ciudad Salitre Occidental,1,2,1,2,2,2,1,2,2,9,9,1.0,1.0,5000000.0,1.0,2.0,5000000.0,2,2,1.0,99.0,5000000.0,,,,,,,,5000000.0,2,,1.0,2,,2,2,2,2,2,2,2,2,,,2,1,,,,,9.0
3004462.0,Chapinero,CHAPINERO: Pardo Rubio + Chapinero,1,2,2,1,2,1,1,2,2,1,1,1.0,1.0,8000000.0,7.0,1.0,8000000.0,2,2,1.0,1995.0,8000000.0,,,,,,,,8000000.0,2,,1.0,1,1.0,2,2,2,2,2,2,1,1,,,3,2,,,1.0,,9.0
3004470.0,Chapinero,CHAPINERO: Pardo Rubio + Chapinero,1,2,2,2,2,2,2,2,2,2,2,1.0,1.0,2200000.0,2.0,2.0,2200000.0,2,1,1.0,2014.0,2200000.0,,,,,,,,2200000.0,2,,1.0,1,1.0,2,2,2,2,2,2,1,1,,,2,2,,,1.0,,6.0
3004472.0,Fontibón,Ciudad Salitre Occidental,1,2,1,2,2,2,1,2,2,2,2,1.0,1.0,5000000.0,1.0,1.0,5000000.0,2,2,1.0,99.0,5000000.0,,,,,,,,5000000.0,2,,1.0,2,,2,2,2,2,2,2,2,2,,,2,2,,,,,9.0
3004473.0,Chapinero,CHAPINERO: Pardo Rubio + Chapinero,1,2,2,2,2,1,1,2,2,2,2,1.0,1.0,4360000.0,7.0,2.0,4360000.0,2,1,1.0,2015.0,4360000.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,4360000.0,2,,1.0,1,1.0,2,2,2,2,2,2,1,1,,,2,2,,,,,9.0
3004494.0,Teusaquillo,TEUSAQUILLO: Parque Simón Bolívar - CAN + La Esmeralda,1,2,2,2,2,1,1,1,1,1,1,1.0,1.0,5000000.0,7.0,2.0,5000000.0,2,2,1.0,2008.0,5000000.0,,,,,,,,5000000.0,2,,1.0,1,1.0,2,2,2,2,2,2,2,2,,,3,2,,,,,9.0
3005032.0,La Candelaria,La Candelaria,2,2,2,2,2,2,1,2,2,1,1,1.0,1.0,99.0,4.0,1.0,99.0,2,2,1.0,1996.0,99.0,,,,,,,,99.0,2,,1.0,1,1.0,1,2,2,2,2,2,2,3,,,3,2,,,,,13.0
3005040.0,Teusaquillo,TEUSAQUILLO: Parque Simón Bolívar - CAN + La Esmeralda,1,2,2,2,2,2,2,2,2,2,2,1.0,1.0,285000.0,5.0,2.0,285000.0,2,2,1.0,1968.0,285000.0,,,,,,,,285000.0,2,,2.0,2,,2,1,2,2,2,2,2,2,,,2,2,,,,,9.0
3005044.0,Los Mártires,Santa Isabel,2,1,2,2,2,2,1,2,2,2,2,1.0,1.0,1500000.0,7.0,2.0,1500000.0,1,1,1.0,99.0,1500000.0,,,,,,,,1500000.0,2,,1.0,2,,2,2,2,2,2,2,2,2,,,2,2,,,,,5.0
3005047.0,Teusaquillo,Ciudad Salitre Oriental,1,2,1,1,2,2,1,2,2,1,1,2.0,1.0,3000000.0,7.0,2.0,3000000.0,2,1,1.0,2008.0,3000000.0,,,,,,,,3000000.0,2,,1.0,1,1.0,2,1,2,2,2,2,1,1,,,2,2,,,,,9.0
3005062.0,Teusaquillo,Galerías,2,1,2,2,2,2,1,2,2,2,2,1.0,1.0,99.0,7.0,2.0,99.0,2,2,1.0,1990.0,99.0,,,,,,,,99.0,2,,1.0,1,1.0,1,2,2,2,2,2,2,2,,,2,2,,,,,9.0
3005068.0,Los Mártires,Santa Isabel,2,1,2,2,2,1,1,2,1,1,1,2.0,1.0,4000000.0,7.0,2.0,4000000.0,2,1,1.0,2000.0,4000000.0,,,,,,,,4000000.0,2,,1.0,2,,1,2,1,2,2,2,1,1,,,2,2,,,,,9.0
3005071.0,Teusaquillo,Ciudad Salitre Oriental,1,2,2,2,2,2,2,2,2,1,1,1.0,1.0,2800000.0,7.0,2.0,2800000.0,2,1,1.0,2006.0,2800000.0,,,,,,,,2800000.0,2,,1.0,1,1.0,2,2,2,2,2,2,1,2,,,2,2,,,,,11.0
3005075.0,Teusaquillo,Teusaquillo,2,2,2,2,2,1,1,1,2,1,1,1.0,1.0,,7.0,1.0,,2,2,1.0,2014.0,,,,,,,,,,2,,1.0,1,1.0,2,2,2,2,2,2,1,1,,,2,2,,,,,11.0
3005082.0,Teusaquillo,TEUSAQUILLO: Parque Simón Bolívar - CAN + La Esmeralda,2,2,2,2,2,2,2,2,2,1,1,1.0,1.0,98.0,1.0,2.0,98.0,1,1,1.0,2019.0,98.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,98.0,2,,2.0,1,1.0,2,2,2,2,2,2,1,2,,,3,2,,,,,7.0
3005089.0,Teusaquillo,TEUSAQUILLO: Parque Simón Bolívar - CAN + La Esmeralda,1,2,2,2,2,2,2,2,2,1,1,2.0,1.0,6600000.0,1.0,1.0,6600000.0,2,2,1.0,2021.0,6600000.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,6600000.0,2,,2.0,2,,2,2,2,2,2,2,1,2,,,3,2,,,,,9.0
3005094.0,La Candelaria,La Candelaria,1,2,2,2,2,1,1,2,2,1,1,1.0,1.0,1000000.0,7.0,2.0,1000000.0,2,2,1.0,99.0,1000000.0,,,,,,,,1000000.0,2,,1.0,2,,1,2,2,2,2,2,1,1,,,1,2,,,,,5.0
3005116.0,Teusaquillo,TEUSAQUILLO: Parque Simón Bolívar - CAN + La Esmeralda,2,2,2,2,2,2,2,2,2,2,2,2.0,1.0,5480000.0,7.0,2.0,5480000.0,2,2,1.0,1967.0,5480000.0,,,,,,,,5480000.0,2,,4.0,2,,1,2,2,2,2,2,2,2,,,2,2,,,,,15.0
3005117.0,Teusaquillo,TEUSAQUILLO: Parque Simón Bolívar - CAN + La Esmeralda,1,2,2,2,2,2,2,2,2,1,1,2.0,1.0,5500000.0,11.0,1.0,5500000.0,1,1,1.0,2011.0,5500000.0,,,,,,,,5500000.0,2,,1.0,1,1.0,1,2,2,2,2,2,1,1,,,2,2,,,,,15.0
3005130.0,Teusaquillo,Galerías,2,1,2,2,2,1,1,2,2,2,2,1.0,1.0,99.0,7.0,2.0,99.0,2,2,1.0,99.0,99.0,,,,,,,,99.0,2,,1.0,2,,2,2,2,2,2,2,2,2,,,3,2,,,,,9.0
3005131.0,La Candelaria,La Candelaria,2,2,1,2,2,2,1,2,2,1,1,2.0,1.0,99.0,7.0,1.0,99.0,2,2,1.0,1918.0,99.0,,,,,,,,99.0,2,,1.0,1,1.0,1,1,2,2,2,2,2,2,,,3,2,,,,,9.0
3005145.0,Fontibón,Ciudad Salitre Occidental,1,2,2,2,2,2,2,2,2,2,2,1.0,1.0,3800000.0,1.0,2.0,3800000.0,2,2,1.0,2010.0,3800000.0,,,,,,,,3800000.0,2,,1.0,1,1.0,2,2,2,2,2,2,2,1,,,2,2,,,,,11.0
3005153.0,Santa Fe,SANTA FE: Las Nieves + Sagrado Corazón,1,2,2,2,2,2,2,2,2,2,2,2.0,2.0,,1.0,2.0,,2,2,2.0,2015.0,,2.0,2.0,2.0,1.0,2.0,1.0,2.0,,2,,2.0,1,1.0,2,1,2,2,2,2,1,1,,,3,2,,,,,
3005157.0,Los Mártires,Santa Isabel,2,2,2,2,2,2,1,2,2,1,1,1.0,1.0,1500000.0,7.0,2.0,1500000.0,2,2,1.0,2002.0,1500000.0,,,,,,,,1500000.0,2,,2.0,1,1.0,2,2,2,2,2,2,1,1,,,3,2,,,,,3.0
3005164.0,Chapinero,CHAPINERO: Chicó Lago + El Refugio,2,2,2,2,2,2,2,2,2,2,2,1.0,1.0,5600000.0,7.0,1.0,5600000.0,2,2,1.0,2008.0,5600000.0,,,,,,,,5600000.0,2,,2.0,1,1.0,1,2,2,2,2,2,1,1,,,3,2,,,,,11.0
3005166.0,Chapinero,CHAPINERO: Chicó Lago + El Refugio,1,2,2,2,2,2,1,2,2,2,2,1.0,1.0,14500000.0,7.0,1.0,14500000.0,2,2,1.0,2009.0,14500000.0,,,,,,,,14500000.0,2,,1.0,1,2.0,2,2,2,2,2,2,2,2,,,3,2,,,,,13.0
3005169.0,Chapinero,CHAPINERO: Pardo Rubio + Chapinero,2,2,2,2,1,1,1,2,2,2,2,1.0,1.0,9000000.0,1.0,1.0,9000000.0,2,2,1.0,2013.0,9000000.0,,,,,,,,9000000.0,2,,1.0,1,2.0,1,1,2,2,2,2,1,2,,,3,2,,,,,13.0
3005171.0,Fontibón,Ciudad Salitre Occidental,1,2,1,2,2,1,1,2,2,1,1,1.0,1.0,99.0,7.0,2.0,99.0,2,2,1.0,2011.0,99.0,,,,,,,,99.0,1,2.0,,1,1.0,2,2,2,2,2,2,1,1,,,3,2,,,,,11.0
3005175.0,Chapinero,CHAPINERO: Chicó Lago + El Refugio,1,2,2,2,2,2,2,2,2,2,2,1.0,1.0,12600000.0,8.0,1.0,12600000.0,2,2,1.0,2015.0,12600000.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,12600000.0,2,,1.0,1,1.0,2,2,2,2,2,2,1,1,,,3,2,,,,,9.0
3005176.0,Fontibón,Ciudad Salitre Occidental,1,2,2,2,2,2,2,2,2,2,2,2.0,1.0,3000000.0,7.0,2.0,3000000.0,2,2,1.0,2001.0,3000000.0,,,,,,,,3000000.0,2,,1.0,1,1.0,2,2,2,2,2,2,1,1,,,2,2,,,,,9.0
3005178.0,Chapinero,CHAPINERO: Chicó Lago + El Refugio,1,2,2,2,2,1,2,2,2,2,2,2.0,1.0,99.0,1.0,1.0,99.0,2,2,1.0,2016.0,99.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,99.0,2,,1.0,1,1.0,2,2,2,2,2,2,2,2,,,3,2,,,,,9.0
3005180.0,Usaquén,USAQUÉN: Paseo de Los Libertadores + La Uribe,1,2,2,2,2,2,2,2,2,1,1,1.0,1.0,10000000.0,1.0,2.0,10000000.0,2,2,1.0,2010.0,10000000.0,,,,,,,,10000000.0,2,,1.0,1,2.0,2,2,2,2,2,2,1,1,,,2,2,,,,,8.0
3005185.0,Chapinero,CHAPINERO: Chicó Lago + El Refugio,1,2,2,2,2,2,1,2,2,2,2,1.0,1.0,99.0,1.0,1.0,99.0,2,2,1.0,1998.0,99.0,,,,,,,,99.0,2,,1.0,1,1.0,1,2,2,2,2,2,2,2,,,3,2,,,,,12.0
3005187.0,Usaquén,USAQUÉN: Paseo de Los Libertadores + La Uribe,1,2,2,2,2,2,1,2,2,1,1,1.0,1.0,,7.0,1.0,,2,2,1.0,2020.0,,2.0,1.0,2.0,2.0,2.0,1.0,2.0,,2,,1.0,1,1.0,1,1,2,2,2,2,1,1,,,3,2,,,,,11.0
3005201.0,Chapinero,CHAPINERO: Chicó Lago + El Refugio,2,2,2,2,2,2,2,2,2,9,9,1.0,1.0,9000000.0,7.0,1.0,9000000.0,2,2,1.0,2012.0,9000000.0,,,,,,,,9000000.0,2,,2.0,1,1.0,1,1,2,2,2,2,1,1,,,3,2,,,,,13.0
3005202.0,Chapinero,CHAPINERO: Pardo Rubio + Chapinero,2,2,2,2,2,2,2,2,2,1,1,2.0,1.0,6000000.0,1.0,1.0,6000000.0,2,2,1.0,2021.0,6000000.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,6000000.0,2,,1.0,1,1.0,2,1,2,2,2,2,1,1,,,3,2,,,,,
